street	city	zip	state	beds	baths	sq__ft	type	sale_date	price	latitude	longitude
1035 MILLET WAY	SACRAMENTO	95834	CA	3	2	1202	Residential	Tue May 20 00:00:00 EDT 2008	143500	38.631056	-121.48508
5201 LAGUNA OAKS DR Unit 126	ELK GROVE	95758	CA	0	0	0	Condo	Tue May 20 00:00:00 EDT 2008	145000	38.423251	-121.444489
3328 22ND AVE	SACRAMENTO	95820	CA	2	1	722	Residential	Tue May 20 00:00:00 EDT 2008	145000	38.532727	-121.470783
8001 HARTWICK WAY	SACRAMENTO	95828	CA	4	2	1448	Residential	Tue May 20 00:00:00 EDT 2008	145000	38.488623	-121.410582
7812 HARTWICK WAY	SACRAMENTO	95828	CA	3	2	1188	Residential	Tue May 20 00:00:00 EDT 2008	145000	38.488611	-121.412808
4207 PAINTER WAY	NORTH HIGHLANDS	95660	CA	4	2	1183	Residential	Tue May 20 00:00:00 EDT 2008	146000	38.692915	-121.367497
7458 WINKLEY WAY	SACRAMENTO	95822	CA	3	1	1320	Residential	Tue May 20 00:00:00 EDT 2008	148500	38.487444	-121.491366
8354 SUNRISE WOODS WAY	SACRAMENTO	95828	CA	3	2	1117	Residential	Tue May 20 00:00:00 EDT 2008	149000	38.473288	-121.3963
8116 COTTONMILL CIR	SACRAMENTO	95828	CA	3	2	1364	Residential	Tue May 20 00:00:00 EDT 2008	150000	38.482876	-121.405912
4660 CEDARWOOD WAY	SACRAMENTO	95823	CA	4	2	1310	Residential	Tue May 20 00:00:00 EDT 2008	150000	38.484834	-121.449316
9254 HARROGATE WAY	ELK GROVE	95758	CA	2	2	1006	Residential	Tue May 20 00:00:00 EDT 2008	152000	38.420138	-121.412179
6716 TAREYTON WAY	CITRUS HEIGHTS	95621	CA	3	2	1104	Residential	Tue May 20 00:00:00 EDT 2008	156000	38.693724	-121.307169
2028 ROBERT WAY	SACRAMENTO	95825	CA	2	1	810	Residential	Tue May 20 00:00:00 EDT 2008	156000	38.609982	-121.419263
9346 AIZENBERG CIR	ELK GROVE	95624	CA	2	2	1123	Residential	Tue May 20 00:00:00 EDT 2008	156000	38.41875	-121.370019
4524 LOCH HAVEN WAY	SACRAMENTO	95842	CA	2	1	904	Residential	Tue May 20 00:00:00 EDT 2008	157788	38.67273	-121.359645
7140 BLUE SPRINGS WAY	CITRUS HEIGHTS	95621	CA	3	2	1156	Residential	Tue May 20 00:00:00 EDT 2008	161653	38.720653	-121.302241
4631 11TH AVE	SACRAMENTO	95820	CA	2	1	1321	Residential	Tue May 20 00:00:00 EDT 2008	161829	38.541965	-121.452132
3228 BAGGAN CT	ANTELOPE	95843	CA	3	2	1392	Residential	Tue May 20 00:00:00 EDT 2008	165000	38.715346	-121.388163
8515 DARTFORD DR	SACRAMENTO	95823	CA	3	2	1439	Residential	Tue May 20 00:00:00 EDT 2008	168000	38.448288	-121.420719
4500 TIPPWOOD WAY	SACRAMENTO	95842	CA	3	2	1159	Residential	Tue May 20 00:00:00 EDT 2008	169000	38.69951	-121.359989
2460 EL ROCCO WAY	RANCHO CORDOVA	95670	CA	3	2	1671	Residential	Tue May 20 00:00:00 EDT 2008	175000	38.591477	-121.31534
8244 SUNBIRD WAY	SACRAMENTO	95823	CA	3	2	1740	Residential	Tue May 20 00:00:00 EDT 2008	176250	38.457654	-121.431381
5841 VALLEY VALE WAY	SACRAMENTO	95823	CA	3	2	1265	Residential	Tue May 20 00:00:00 EDT 2008	179000	38.461283	-121.434322
7863 CRESTLEIGH CT	ANTELOPE	95843	CA	2	2	1007	Residential	Tue May 20 00:00:00 EDT 2008	180000	38.710889	-121.358876
7129 SPRINGMONT DR	ELK GROVE	95758	CA	3	2	1716	Residential	Tue May 20 00:00:00 EDT 2008	180400	38.417649	-121.420294
8284 RED FOX WAY	ELK GROVE	95758	CA	4	2	1685	Residential	Tue May 20 00:00:00 EDT 2008	182000	38.417182	-121.397231
2219 EL CANTO CIR	RANCHO CORDOVA	95670	CA	4	2	1829	Residential	Tue May 20 00:00:00 EDT 2008	184500	38.592383	-121.318669
8907 GEMWOOD WAY	ELK GROVE	95758	CA	3	2	1555	Residential	Tue May 20 00:00:00 EDT 2008	185000	38.435471	-121.441173
5925 MALEVILLE AVE	CARMICHAEL	95608	CA	4	2	1120	Residential	Tue May 20 00:00:00 EDT 2008	189000	38.666564	-121.325717
7031 CANEVALLEY CIR	CITRUS HEIGHTS	95621	CA	3	2	1137	Residential	Tue May 20 00:00:00 EDT 2008	194000	38.718693	-121.303619
3949 WILDROSE WAY	SACRAMENTO	95826	CA	3	1	1174	Residential	Tue May 20 00:00:00 EDT 2008	195000	38.543697	-121.366683
4437 MITCHUM CT	ANTELOPE	95843	CA	3	2	1393	Residential	Tue May 20 00:00:00 EDT 2008	200000	38.704407	-121.36113
2778 KAWEAH CT	CAMERON PARK	95682	CA	3	1	0	Residential	Tue May 20 00:00:00 EDT 2008	201000	38.694052	-120.995589
1636 ALLENWOOD CIR	LINCOLN	95648	CA	4	2	0	Residential	Tue May 20 00:00:00 EDT 2008	202500	38.879192	-121.309477
8151 QUAIL RIDGE CT	SACRAMENTO	95828	CA	3	2	1289	Residential	Tue May 20 00:00:00 EDT 2008	205000	38.461296	-121.390858
4899 WIND CREEK DR	SACRAMENTO	95838	CA	4	2	1799	Residential	Tue May 20 00:00:00 EDT 2008	205000	38.655887	-121.446119
2370 BIG CANYON CREEK RD	PLACERVILLE	95667	CA	3	2	0	Residential	Tue May 20 00:00:00 EDT 2008	205000	38.74458	-120.794254
6049 HAMBURG WAY	SACRAMENTO	95823	CA	4	3	1953	Residential	Tue May 20 00:00:00 EDT 2008	205000	38.443253	-121.431992
4232 71ST ST	SACRAMENTO	95820	CA	2	1	723	Residential	Tue May 20 00:00:00 EDT 2008	207000	38.536741	-121.42115
3361 BOW MAR CT	CAMERON PARK	95682	CA	2	2	0	Residential	Tue May 20 00:00:00 EDT 2008	210000	38.69437	-120.996602
1889 COLD SPRINGS RD	PLACERVILLE	95667	CA	2	1	948	Residential	Tue May 20 00:00:00 EDT 2008	211500	38.739774	-120.860243
5805 HIMALAYA WAY	CITRUS HEIGHTS	95621	CA	4	2	1578	Residential	Tue May 20 00:00:00 EDT 2008	215000	38.696489	-121.328555
7944 SYLVAN OAK WAY	CITRUS HEIGHTS	95610	CA	3	2	1317	Residential	Tue May 20 00:00:00 EDT 2008	215000	38.710388	-121.261096
3139 SPOONWOOD WAY Unit 1	SACRAMENTO	95833	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	215500	38.626582	-121.52151
6217 LEOLA WAY	SACRAMENTO	95824	CA	3	1	1360	Residential	Tue May 20 00:00:00 EDT 2008	222381	38.513066	-121.451909
2340 HURLEY WAY	SACRAMENTO	95825	CA	0	0	0	Condo	Tue May 20 00:00:00 EDT 2008	225000	38.588816	-121.408549
3035 BRUNNET LN	SACRAMENTO	95833	CA	3	2	1522	Residential	Tue May 20 00:00:00 EDT 2008	225000	38.624762	-121.522775
3025 EL PRADO WAY	SACRAMENTO	95825	CA	4	2	1751	Residential	Tue May 20 00:00:00 EDT 2008	225000	38.606603	-121.394147
9387 GRANITE FALLS CT	ELK GROVE	95624	CA	3	2	1465	Residential	Tue May 20 00:00:00 EDT 2008	225000	38.419214	-121.348533
9257 CALDERA WAY	SACRAMENTO	95826	CA	4	2	1605	Residential	Tue May 20 00:00:00 EDT 2008	228000	38.55821	-121.355022
441 ARLINGDALE CIR	RIO LINDA	95673	CA	4	2	1475	Residential	Tue May 20 00:00:00 EDT 2008	229665	38.702893	-121.454949
2284 LOS ROBLES RD	MEADOW VISTA	95722	CA	3	1	1216	Residential	Tue May 20 00:00:00 EDT 2008	230000	39.008159	-121.03623
8164 CHENIN BLANC LN	FAIR OAKS	95628	CA	2	2	1315	Residential	Tue May 20 00:00:00 EDT 2008	230000	38.665644	-121.259969
4620 CHAMBERLIN CIR	ELK GROVE	95757	CA	3	2	1567	Residential	Tue May 20 00:00:00 EDT 2008	230000	38.390557	-121.449805
5340 BIRK WAY	SACRAMENTO	95835	CA	3	2	1776	Residential	Tue May 20 00:00:00 EDT 2008	234000	38.672495	-121.515251
51 ANJOU CIR	SACRAMENTO	95835	CA	3	2	2187	Residential	Tue May 20 00:00:00 EDT 2008	235000	38.661658	-121.540633
2125 22ND AVE	SACRAMENTO	95822	CA	3	1	1291	Residential	Tue May 20 00:00:00 EDT 2008	236250	38.534596	-121.493121
611 BLOSSOM ROCK LN	FOLSOM	95630	CA	0	0	0	Condo	Tue May 20 00:00:00 EDT 2008	240000	38.6457	-121.1197
8830 ADUR RD	ELK GROVE	95624	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	242000	38.43742	-121.372876
7344 BUTTERBALL WAY	SACRAMENTO	95842	CA	3	2	1503	Residential	Tue May 20 00:00:00 EDT 2008	245000	38.699489	-121.361828
8219 GWINHURST CIR	SACRAMENTO	95828	CA	4	3	2491	Residential	Tue May 20 00:00:00 EDT 2008	245000	38.459711	-121.384283
3240 S ST	SACRAMENTO	95816	CA	2	1	1269	Residential	Tue May 20 00:00:00 EDT 2008	245000	38.562296	-121.467489
221 PICASSO CIR	SACRAMENTO	95835	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	250000	38.676658	-121.528128
5706 GREENACRES WAY	ORANGEVALE	95662	CA	3	2	1176	Residential	Tue May 20 00:00:00 EDT 2008	250000	38.669882	-121.213533
6900 LONICERA DR	ORANGEVALE	95662	CA	4	2	1456	Residential	Tue May 20 00:00:00 EDT 2008	250000	38.692199	-121.250975
419 DAWNRIDGE RD	ROSEVILLE	95678	CA	3	2	1498	Residential	Tue May 20 00:00:00 EDT 2008	250000	38.725283	-121.297953
5312 MARBURY WAY	ANTELOPE	95843	CA	3	2	1574	Residential	Tue May 20 00:00:00 EDT 2008	255000	38.710221	-121.341651
6344 BONHAM CIR	CITRUS HEIGHTS	95610	CA	5	4	2085	Multi-Family	Tue May 20 00:00:00 EDT 2008	256054	38.682358	-121.272876
8207 YORKTON WAY	SACRAMENTO	95829	CA	3	2	2170	Residential	Tue May 20 00:00:00 EDT 2008	257729	38.45967	-121.360461
7922 MANSELL WAY	ELK GROVE	95758	CA	4	2	1595	Residential	Tue May 20 00:00:00 EDT 2008	260000	38.409634	-121.410787
5712 MELBURY CIR	ANTELOPE	95843	CA	3	2	1567	Residential	Tue May 20 00:00:00 EDT 2008	261000	38.705849	-121.334701
632 NEWBRIDGE LN	LINCOLN	95648	CA	4	2	0	Residential	Tue May 20 00:00:00 EDT 2008	261800	38.879084	-121.298586
1570 GLIDDEN AVE	SACRAMENTO	95822	CA	4	2	1253	Residential	Tue May 20 00:00:00 EDT 2008	264469	38.482704	-121.500433
8108 FILIFERA WAY	ANTELOPE	95843	CA	4	3	1768	Residential	Tue May 20 00:00:00 EDT 2008	265000	38.717042	-121.35468
230 BANKSIDE WAY	SACRAMENTO	95835	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	270000	38.676937	-121.529244
5342 CALABRIA WAY	SACRAMENTO	95835	CA	4	3	2030	Residential	Tue May 20 00:00:00 EDT 2008	270000	38.671807	-121.498274
47 NAPONEE CT	SACRAMENTO	95835	CA	3	2	1531	Residential	Tue May 20 00:00:00 EDT 2008	270000	38.665704	-121.529096
4236 ADRIATIC SEA WAY	SACRAMENTO	95834	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	270000	38.647961	-121.543162
8864 REMBRANT CT	ELK GROVE	95624	CA	4	3	1653	Residential	Tue May 20 00:00:00 EDT 2008	275000	38.435288	-121.375703
9455 SEA CLIFF WAY	ELK GROVE	95758	CA	4	2	2056	Residential	Tue May 20 00:00:00 EDT 2008	275000	38.411522	-121.481406
9720 LITTLE HARBOR WAY	ELK GROVE	95624	CA	4	3	2494	Residential	Tue May 20 00:00:00 EDT 2008	280000	38.404934	-121.352405
8806 PHOENIX AVE	FAIR OAKS	95628	CA	3	2	1450	Residential	Tue May 20 00:00:00 EDT 2008	286013	38.660322	-121.230101
3578 LOGGERHEAD WAY	SACRAMENTO	95834	CA	4	2	2169	Residential	Tue May 20 00:00:00 EDT 2008	292000	38.633028	-121.526755
1416 LOCKHART WAY	ROSEVILLE	95747	CA	3	2	1440	Residential	Tue May 20 00:00:00 EDT 2008	292000	38.752399	-121.330328
5413 BUENA VENTURA WAY	FAIR OAKS	95628	CA	3	2	1527	Residential	Tue May 20 00:00:00 EDT 2008	293993	38.664552	-121.255937
37 WHITE BIRCH CT	ROSEVILLE	95678	CA	3	2	1401	Residential	Tue May 20 00:00:00 EDT 2008	294000	38.776327	-121.284514
405 MARLIN SPIKE WAY	SACRAMENTO	95838	CA	3	2	1411	Residential	Tue May 20 00:00:00 EDT 2008	296769	38.65783	-121.456842
1102 CHESLEY LN	LINCOLN	95648	CA	4	4	0	Residential	Tue May 20 00:00:00 EDT 2008	297500	38.864864	-121.313988
11281 STANFORD COURT LN Unit 604	GOLD RIVER	95670	CA	0	0	0	Condo	Tue May 20 00:00:00 EDT 2008	300000	38.625289	-121.260286
7320 6TH ST	RIO LINDA	95673	CA	3	1	1284	Residential	Tue May 20 00:00:00 EDT 2008	300000	38.700553	-121.452223
993 MANTON CT	GALT	95632	CA	4	3	2307	Residential	Tue May 20 00:00:00 EDT 2008	300000	38.272942	-121.289148
4487 PANORAMA DR	PLACERVILLE	95667	CA	3	2	1329	Residential	Tue May 20 00:00:00 EDT 2008	300000	38.694559	-120.848157
5651 OVERLEAF WAY	SACRAMENTO	95835	CA	4	2	1910	Residential	Tue May 20 00:00:00 EDT 2008	300500	38.677454	-121.494791
2015 PROMONTORY POINT LN	GOLD RIVER	95670	CA	3	2	1981	Residential	Tue May 20 00:00:00 EDT 2008	305000	38.628732	-121.261149
3224 PARKHAM DR	ROSEVILLE	95747	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	306500	38.772771	-121.364877
15 VANESSA PL	SACRAMENTO	95835	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	312500	38.668692	-121.54549
1312 RENISON LN	LINCOLN	95648	CA	5	3	0	Residential	Tue May 20 00:00:00 EDT 2008	315000	38.866409	-121.308485
8 RIVER RAFT CT	SACRAMENTO	95823	CA	4	2	2205	Residential	Tue May 20 00:00:00 EDT 2008	319789	38.447353	-121.434969
2251 LAMPLIGHT LN	LINCOLN	95648	CA	2	2	1449	Residential	Tue May 20 00:00:00 EDT 2008	330000	38.849924	-121.275729
106 FARHAM DR	FOLSOM	95630	CA	3	2	1258	Residential	Tue May 20 00:00:00 EDT 2008	330000	38.667834	-121.168578
5405 NECTAR CIR	ELK GROVE	95757	CA	3	2	2575	Residential	Tue May 20 00:00:00 EDT 2008	331000	38.387014	-121.440967
5411 10TH AVE	SACRAMENTO	95820	CA	2	1	539	Residential	Tue May 20 00:00:00 EDT 2008	334000	38.542727	-121.442449
3512 RAINSONG CIR	RANCHO CORDOVA	95670	CA	4	3	2208	Residential	Tue May 20 00:00:00 EDT 2008	336000	38.573488	-121.282809
1106 55TH ST	SACRAMENTO	95819	CA	3	1	1108	Residential	Tue May 20 00:00:00 EDT 2008	339000	38.563805	-121.436395
411 ILLSLEY WAY	FOLSOM	95630	CA	4	2	1595	Residential	Tue May 20 00:00:00 EDT 2008	339000	38.652002	-121.129504
796 BUTTERCUP CIR	GALT	95632	CA	4	2	2159	Residential	Tue May 20 00:00:00 EDT 2008	345000	38.279581	-121.300828
1230 SANDRA CIR	PLACERVILLE	95667	CA	4	3	2295	Residential	Tue May 20 00:00:00 EDT 2008	350000	38.738141	-120.784145
318 ANACAPA DR	ROSEVILLE	95678	CA	3	2	1838	Residential	Tue May 20 00:00:00 EDT 2008	356000	38.782094	-121.297133
3975 SHINING STAR DR	SACRAMENTO	95823	CA	4	2	1900	Residential	Tue May 20 00:00:00 EDT 2008	361745	38.487409	-121.461413
1620 BASLER ST	SACRAMENTO	95811	CA	4	2	1718	Residential	Tue May 20 00:00:00 EDT 2008	361948	38.591822	-121.478644
9688 NATURE TRAIL WAY	ELK GROVE	95757	CA	5	3	3389	Residential	Tue May 20 00:00:00 EDT 2008	370000	38.405224	-121.479275
5924 TANUS CIR	ROCKLIN	95677	CA	4	2	0	Residential	Tue May 20 00:00:00 EDT 2008	380000	38.778691	-121.204292
9629 CEDAR OAK WAY	ELK GROVE	95757	CA	5	4	3260	Residential	Tue May 20 00:00:00 EDT 2008	385000	38.405527	-121.431746
3429 FERNBROOK CT	CAMERON PARK	95682	CA	3	2	2016	Residential	Tue May 20 00:00:00 EDT 2008	399000	38.664225	-121.007173
2121 HANNAH WAY	ROCKLIN	95765	CA	4	2	2607	Residential	Tue May 20 00:00:00 EDT 2008	402000	38.805749	-121.280931
10104 ANNIE ST	ELK GROVE	95757	CA	4	3	2724	Residential	Tue May 20 00:00:00 EDT 2008	406026	38.390465	-121.443479
1092 MAUGHAM CT	GALT	95632	CA	5	4	3746	Residential	Tue May 20 00:00:00 EDT 2008	420000	38.271646	-121.286848
5404 ALMOND FALLS WAY	RANCHO CORDOVA	95742	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	425000	38.527502	-121.233492
6306 CONEJO	RANCHO MURIETA	95683	CA	4	2	3192	Residential	Tue May 20 00:00:00 EDT 2008	425000	38.512602	-121.087233
14 CASA VATONI PL	SACRAMENTO	95834	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	433500	38.650221	-121.551704
1456 EAGLESFIELD LN	LINCOLN	95648	CA	4	3	0	Residential	Tue May 20 00:00:00 EDT 2008	436746	38.857635	-121.311375
4100 BOTHWELL CIR	EL DORADO HILLS	95762	CA	5	3	0	Residential	Tue May 20 00:00:00 EDT 2008	438700	38.679136	-121.034329
427 21ST ST	SACRAMENTO	95811	CA	2	1	1247	Residential	Tue May 20 00:00:00 EDT 2008	445000	38.582604	-121.47576
1044 GALSTON DR	FOLSOM	95630	CA	4	2	2581	Residential	Tue May 20 00:00:00 EDT 2008	450000	38.676306	-121.09954
4440 SYCAMORE AVE	SACRAMENTO	95841	CA	3	1	2068	Residential	Tue May 20 00:00:00 EDT 2008	460000	38.646374	-121.353658
1032 SOUZA DR	EL DORADO HILLS	95762	CA	3	2	0	Residential	Tue May 20 00:00:00 EDT 2008	460000	38.668239	-121.064437
9760 LAZULITE CT	ELK GROVE	95624	CA	4	3	3992	Residential	Tue May 20 00:00:00 EDT 2008	460000	38.403609	-121.335541
241 LANFRANCO CIR	SACRAMENTO	95835	CA	4	4	3397	Residential	Tue May 20 00:00:00 EDT 2008	465000	38.665696	-121.549437
5559 NORTHBOROUGH DR	SACRAMENTO	95835	CA	5	3	3881	Residential	Tue May 20 00:00:00 EDT 2008	471750	38.677225	-121.519687
2125 BIG SKY DR	ROCKLIN	95765	CA	5	3	0	Residential	Tue May 20 00:00:00 EDT 2008	480000	38.801637	-121.278798
2109 HAMLET PL	CARMICHAEL	95608	CA	2	2	1598	Residential	Tue May 20 00:00:00 EDT 2008	484000	38.602754	-121.329326
9970 STATE HIGHWAY 193	PLACERVILLE	95667	CA	4	3	1929	Residential	Tue May 20 00:00:00 EDT 2008	485000	38.787877	-120.816676
2901 PINTAIL WAY	ELK GROVE	95757	CA	4	3	3070	Residential	Tue May 20 00:00:00 EDT 2008	495000	38.398488	-121.473424
201 FIRESTONE DR	ROSEVILLE	95678	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	500500	38.770153	-121.300039
1740 HIGH ST	AUBURN	95603	CA	3	3	0	Residential	Tue May 20 00:00:00 EDT 2008	504000	38.891935	-121.08434
2733 DANA LOOP	EL DORADO HILLS	95762	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	541000	38.628459	-121.055078
9741 SADDLEBRED CT	WILTON	95693	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	560000	38.408841	-121.198039
7756 TIGERWOODS DR	SACRAMENTO	95829	CA	5	3	3984	Residential	Tue May 20 00:00:00 EDT 2008	572500	38.47643	-121.309243
5709 RIVER OAK WAY	CARMICHAEL	95608	CA	4	2	2222	Residential	Tue May 20 00:00:00 EDT 2008	582000	38.602461	-121.330979
2981 WRINGER DR	ROSEVILLE	95661	CA	4	3	3838	Residential	Tue May 20 00:00:00 EDT 2008	613401	38.735373	-121.227072
8616 ROCKPORTE CT	ROSEVILLE	95747	CA	4	2	0	Residential	Tue May 20 00:00:00 EDT 2008	614000	38.742118	-121.359909
4128 HILL ST	FAIR OAKS	95628	CA	5	5	2846	Residential	Tue May 20 00:00:00 EDT 2008	680000	38.64167	-121.262099
1409 47TH ST	SACRAMENTO	95819	CA	5	2	2484	Residential	Tue May 20 00:00:00 EDT 2008	699000	38.563244	-121.446876
3935 EL MONTE DR	LOOMIS	95650	CA	4	4	1624	Residential	Tue May 20 00:00:00 EDT 2008	839000	38.813337	-121.133348
5840 WALERGA RD	SACRAMENTO	95842	CA	2	1	840	Condo	Mon May 19 00:00:00 EDT 2008	40000	38.673678	-121.357471
923 FULTON AVE	SACRAMENTO	95825	CA	1	1	484	Condo	Mon May 19 00:00:00 EDT 2008	48000	38.582279	-121.401482
261 REDONDO AVE	SACRAMENTO	95815	CA	3	1	970	Residential	Mon May 19 00:00:00 EDT 2008	61500	38.620685	-121.460539
4030 BROADWAY	SACRAMENTO	95817	CA	2	1	623	Residential	Mon May 19 00:00:00 EDT 2008	62050	38.546798	-121.460038
3660 22ND AVE	SACRAMENTO	95820	CA	2	1	932	Residential	Mon May 19 00:00:00 EDT 2008	65000	38.532718	-121.46747
3924 HIGH ST	SACRAMENTO	95838	CA	2	1	796	Residential	Mon May 19 00:00:00 EDT 2008	65000	38.638797	-121.435049
4734 14TH AVE	SACRAMENTO	95820	CA	2	1	834	Residential	Mon May 19 00:00:00 EDT 2008	68000	38.539447	-121.450858
4734 14TH AVE	SACRAMENTO	95820	CA	2	1	834	Residential	Mon May 19 00:00:00 EDT 2008	68000	38.539447	-121.450858
5050 RHODE ISLAND DR Unit 4	SACRAMENTO	95841	CA	2	1	924	Condo	Mon May 19 00:00:00 EDT 2008	77000	38.658739	-121.333561
4513 GREENHOLME DR	SACRAMENTO	95842	CA	2	1	795	Condo	Mon May 19 00:00:00 EDT 2008	82732	38.669104	-121.359008
3845 ELM ST	SACRAMENTO	95838	CA	3	1	1250	Residential	Mon May 19 00:00:00 EDT 2008	84000	38.637337	-121.432835
3908 17TH AVE	SACRAMENTO	95820	CA	2	1	984	Residential	Mon May 19 00:00:00 EDT 2008	84675	38.53728	-121.463531
7109 CHANDLER DR	SACRAMENTO	95828	CA	3	1	1013	Residential	Mon May 19 00:00:00 EDT 2008	85000	38.497237	-121.424187
7541 SKELTON WAY	SACRAMENTO	95822	CA	3	1	1012	Residential	Mon May 19 00:00:00 EDT 2008	90000	38.484274	-121.488851
9058 MONTOYA ST	SACRAMENTO	95826	CA	2	1	795	Condo	Mon May 19 00:00:00 EDT 2008	90000	38.559144	-121.368387
1016 CONGRESS AVE	SACRAMENTO	95838	CA	2	2	918	Residential	Mon May 19 00:00:00 EDT 2008	91000	38.630151	-121.442789
540 MORRISON AVE	SACRAMENTO	95838	CA	3	1	1082	Residential	Mon May 19 00:00:00 EDT 2008	95000	38.637704	-121.453946
5303 JERRETT WAY	SACRAMENTO	95842	CA	2	1	964	Residential	Mon May 19 00:00:00 EDT 2008	97500	38.663282	-121.359631
2820 DEL PASO BLVD	SACRAMENTO	95815	CA	4	2	1404	Multi-Family	Mon May 19 00:00:00 EDT 2008	100000	38.617718	-121.440089
3715 TALLYHO DR Unit 78HIGH	SACRAMENTO	95826	CA	1	1	625	Condo	Mon May 19 00:00:00 EDT 2008	100000	38.544627	-121.35796
6013 ROWAN WAY	CITRUS HEIGHTS	95621	CA	2	1	888	Residential	Mon May 19 00:00:00 EDT 2008	101000	38.675893	-121.2963
2987 PONDEROSA LN	SACRAMENTO	95815	CA	4	2	1120	Residential	Mon May 19 00:00:00 EDT 2008	102750	38.622243	-121.457863
3732 LANKERSHIM WAY	NORTH HIGHLANDS	95660	CA	3	1	1331	Residential	Mon May 19 00:00:00 EDT 2008	112500	38.68972	-121.378399
2216 DUNLAP DR	SACRAMENTO	95821	CA	3	1	1014	Residential	Mon May 19 00:00:00 EDT 2008	113000	38.623738	-121.41305
3503 21ST AVE	SACRAMENTO	95820	CA	4	2	1448	Residential	Mon May 19 00:00:00 EDT 2008	114000	38.53361	-121.469308
523 EXCHANGE ST	SACRAMENTO	95838	CA	3	1	966	Residential	Mon May 19 00:00:00 EDT 2008	114000	38.659414	-121.45408
8101 PORT ROYALE WAY	SACRAMENTO	95823	CA	2	1	779	Residential	Mon May 19 00:00:00 EDT 2008	114750	38.463929	-121.438667
8020 WALERGA RD	ANTELOPE	95843	CA	2	2	836	Condo	Mon May 19 00:00:00 EDT 2008	115000	38.71607	-121.364468
167 VALLEY OAK DR	ROSEVILLE	95678	CA	2	2	1100	Condo	Mon May 19 00:00:00 EDT 2008	115000	38.732429	-121.288069
7876 BURLINGTON WAY	SACRAMENTO	95832	CA	3	1	1174	Residential	Mon May 19 00:00:00 EDT 2008	116100	38.470093	-121.468347
3726 JONKO AVE	NORTH HIGHLANDS	95660	CA	3	2	1207	Residential	Mon May 19 00:00:00 EDT 2008	119250	38.656131	-121.377265
7342 GIGI PL	SACRAMENTO	95828	CA	4	4	1995	Multi-Family	Mon May 19 00:00:00 EDT 2008	120000	38.490704	-121.410176
2610 PHYLLIS AVE	SACRAMENTO	95820	CA	2	1	804	Residential	Mon May 19 00:00:00 EDT 2008	120000	38.53105	-121.479574
4200 COMMERCE WAY Unit 711	SACRAMENTO	95834	CA	2	2	958	Condo	Mon May 19 00:00:00 EDT 2008	120000	38.647523	-121.523217
4621 COUNTRY SCENE WAY	SACRAMENTO	95823	CA	3	2	1366	Residential	Mon May 19 00:00:00 EDT 2008	120108	38.470187	-121.448149
5380 VILLAGE WOOD DR	SACRAMENTO	95823	CA	2	2	901	Residential	Mon May 19 00:00:00 EDT 2008	121500	38.454949	-121.440578
2621 EVERGREEN ST	SACRAMENTO	95815	CA	3	1	696	Residential	Mon May 19 00:00:00 EDT 2008	121725	38.613103	-121.444085
201 CARLO CT	GALT	95632	CA	3	2	1080	Residential	Mon May 19 00:00:00 EDT 2008	122000	38.24227	-121.31032
6743 21ST ST	SACRAMENTO	95822	CA	3	2	1104	Residential	Mon May 19 00:00:00 EDT 2008	123000	38.50372	-121.490657
3128 VIA GRANDE	SACRAMENTO	95825	CA	2	1	972	Residential	Mon May 19 00:00:00 EDT 2008	125000	38.598321	-121.39161
2847 BELGRADE WAY	SACRAMENTO	95833	CA	4	2	1390	Residential	Mon May 19 00:00:00 EDT 2008	125573	38.617173	-121.482541
7741 MILLDALE CIR	ELVERTA	95626	CA	4	2	1354	Residential	Mon May 19 00:00:00 EDT 2008	126714	38.705834	-121.43919
9013 CASALS ST	SACRAMENTO	95826	CA	2	1	795	Condo	Mon May 19 00:00:00 EDT 2008	126960	38.557045	-121.37167
227 MAHAN CT Unit 1	ROSEVILLE	95678	CA	2	1	780	Condo	Mon May 19 00:00:00 EDT 2008	127000	38.749723	-121.27008
7349 FLETCHER FARM DR	SACRAMENTO	95828	CA	4	2	1587	Residential	Mon May 19 00:00:00 EDT 2008	127500	38.49069	-121.382619
7226 LARCHMONT DR	NORTH HIGHLANDS	95660	CA	3	2	1209	Residential	Mon May 19 00:00:00 EDT 2008	130000	38.699269	-121.376334
4114 35TH AVE	SACRAMENTO	95824	CA	2	1	1139	Residential	Mon May 19 00:00:00 EDT 2008	133105	38.520941	-121.459355
617 M ST	RIO LINDA	95673	CA	2	2	1690	Residential	Mon May 19 00:00:00 EDT 2008	136500	38.691104	-121.451832
